atlas_region,atlas_index
LH_Vis_1,1
LH_Vis_2,2
LH_Vis_3,3
LH_Vis_4,4
LH_Vis_5,5
LH_Vis_6,6
LH_Vis_7,7
LH_Vis_8,8
LH_Vis_9,9
LH_Vis_10,10
LH_Vis_11,11
LH_Vis_12,12
LH_Vis_13,13
LH_Vis_14,14
LH_Vis_15,15
LH_Vis_16,16
LH_Vis_17,17
LH_Vis_18,18
LH_Vis_19,19
LH_Vis_20,20
LH_Vis_21,21
LH_Vis_22,22
LH_Vis_23,23
LH_Vis_24,24
LH_Vis_25,25
LH_Vis_26,26
LH_Vis_27,27
LH_Vis_28,28
LH_Vis_29,29
LH_Vis_30,30
LH_Vis_31,31
LH_SomMot_1,32
LH_SomMot_2,33
LH_SomMot_3,34
LH_SomMot_4,35
LH_SomMot_5,36
LH_SomMot_6,37
LH_SomMot_7,38
LH_SomMot_8,39
LH_SomMot_9,40
LH_SomMot_10,41
LH_SomMot_11,42
LH_SomMot_12,43
LH_SomMot_13,44
LH_SomMot_14,45
LH_SomMot_15,46
LH_SomMot_16,47
LH_SomMot_17,48
LH_SomMot_18,49
LH_SomMot_19,50
LH_SomMot_20,51
LH_SomMot_21,52
LH_SomMot_22,53
LH_SomMot_23,54
LH_SomMot_24,55
LH_SomMot_25,56
LH_SomMot_26,57
LH_SomMot_27,58
LH_SomMot_28,59
LH_SomMot_29,60
LH_SomMot_30,61
LH_SomMot_31,62
LH_SomMot_32,63
LH_SomMot_33,64
LH_SomMot_34,65
LH_SomMot_35,66
LH_SomMot_36,67
LH_SomMot_37,68
LH_DorsAttn_Post_1,69
LH_DorsAttn_Post_2,70
LH_DorsAttn_Post_3,71
LH_DorsAttn_Post_4,72
LH_DorsAttn_Post_5,73
LH_DorsAttn_Post_6,74
LH_DorsAttn_Post_7,75
LH_DorsAttn_Post_8,76
LH_DorsAttn_Post_9,77
LH_DorsAttn_Post_10,78
LH_DorsAttn_Post_11,79
LH_DorsAttn_Post_12,80
