atlas_region,atlas_index
Left-Frontal-pole,71001
Left-Orbito-frontal-cortex,71002
Left-Gyrus-rectus,71003
Left-F3-Pars-Orbitalis,71004
Left-F3-Pars-triangularis,71005
Left-F3-pars-opercularis,71006
Left-Inferior-frontal-sulcus,71007
Left-F2-rostral,71008
Left-F2-caudal,71009
Left-Middle-frontal-sulcus,71010
Left-SFS-rostral,71011
Left-SFS-caudal,71012
Left-F1-mesial-prefrontal,71013
Left-PreSMA,71014
Left-SMA,71015
Left-F1-lateral-prefrontal,71016
Left-F1-lateral-premotor,71017
Left-Subcallosal-area,71018
Left-Precentral-sulcus-inferior-part,71019
Left-Precentral-sulcus-superior-part,71020
Left-Precentral-gyrus-head-face,71021
Left-Precentral-gyrus-upper-limb,71022
Left-Central-sulcus-head-face,71023
Left-Central-sulcus-upper-limb,71024
Left-Paracentral-lobule,71025
Left-Central-operculum,71026
Left-Parietal-operculum,71027
Left-Anterior-cingulate-cortex,71028
Left-Middle-cingulate-cortex-anterior-part,71029
Left-Middle-cingulate-cortex-posterior-part,71030
Left-Posterior-cingulate-cortex-dorsal,71031
Left-Posterior-cingulate-cortex-retrosplenial-gyrus,71032
Left-Insula-gyri-brevi,71033
Left-Insula-gyri-longi,71034
Left-Temporal-pole,71035
Left-T1-planum-polare,71036
Left-Gyrus-of-Heschl,71037
Left-T1-planum-temporale,71038
Left-T1-lateral-anterior,71039
Left-T1-lateral-posterior,71040
Left-STS-anterior,71041
Left-STS-posterior,71042
Left-ITS-anterior,71043
Left-ITS-posterior,71044
Left-T2-anterior,71045
Left-T2-posterior,71046
Left-T3-anterior,71047
Left-T3-posterior,71048
Left-Fusiform-gyrus,71049
Left-Occipito-temporal-sulcus,71050
Left-Collateral-sulcus,71051
Left-Lingual-sulcus,71052
Left-Parahippocampal-cortex,71053
Left-Rhinal-cortex,71054
Left-Postcentral-gyrus,71055
Left-Postcentral-sulcus,71056
Left-Superior-parietal-lobule-P1,71057
Left-Supramarginal-anterior,71058
Left-Supramarginal-posterior,71059
Left-Angular-gyrus,71060
Left-Intraparietal-sulcus,71061
Left-Precuneus,71062
Left-Marginal-branch-of-the-cingulate-sulcus,71063
Left-Parieto-occipital-sulcus,71064
Left-Anterior-occipital-sulcus-and-preoccipital-notch,71065
Left-O3,71066
Left-O2,71067
Left-O1,71068
Left-Occipital-pole,71069
Left-Lingual-gyrus,71070
Left-Calcarine-sulcus,71071
Left-Cuneus,71072
Left-Hippocampus-anterior,71073
Left-Hippocampus-posterior,71074
Left-Caudate-nucleus,71075
Left-Nucleus-accumbens,71076
Left-Cerebellar-cortex,71077
Right-Frontal-pole,72001
Right-Orbito-frontal-cortex,72002
Right-Gyrus-rectus,72003
Right-F3-Pars-Orbitalis,72004
Right-F3-Pars-triangularis,72005
Right-F3-pars-opercularis,72006
Right-Inferior-frontal-sulcus,72007
Right-F2-rostral,72008
Right-F2-caudal,72009
Right-Middle-frontal-sulcus,72010
Right-SFS-rostral,72011
Right-SFS-caudal,72012
Right-F1-mesial-prefrontal,72013
Right-PreSMA,72014
Right-SMA,72015
Right-F1-lateral-prefrontal,72016
Right-F1-lateral-premotor,72017
Right-Subcallosal-area,72018
Right-Precentral-sulcus-inferior-part,72019
Right-Precentral-sulcus-superior-part,72020
Right-Precentral-gyrus-head-face,72021
Right-Precentral-gyrus-upper-limb,72022
Right-Central-sulcus-head-face,72023
Right-Central-sulcus-upper-limb,72024
Right-Paracentral-lobule,72025
Right-Central-operculum,72026
Right-Parietal-operculum,72027
Right-Anterior-cingulate-cortex,72028
Right-Middle-cingulate-cortex-anterior-part,72029
Right-Middle-cingulate-cortex-posterior-part,72030
Right-Posterior-cingulate-cortex-dorsal,72031
Right-Posterior-cingulate-cortex-retrosplenial-gyrus,72032
Right-Insula-gyri-brevi,72033
Right-Insula-gyri-longi,72034
Right-Temporal-pole,72035
Right-T1-planum-polare,72036
Right-Gyrus-of-Heschl,72037
Right-T1-planum-temporale,72038
Right-T1-lateral-anterior,72039
Right-T1-lateral-posterior,72040
Right-STS-anterior,72041
Right-STS-posterior,72042
Right-ITS-anterior,72043
Right-ITS-posterior,72044
Right-T2-anterior,72045
Right-T2-posterior,72046
Right-T3-anterior,72047
Right-T3-posterior,72048
Right-Fusiform-gyrus,72049
Right-Occipito-temporal-sulcus,72050
Right-Collateral-sulcus,72051
Right-Lingual-sulcus,72052
Right-Parahippocampal-cortex,72053
Right-Rhinal-cortex,72054
Right-Postcentral-gyrus,72055
Right-Postcentral-sulcus,72056
Right-Superior-parietal-lobule-P1,72057
Right-Supramarginal-anterior,72058
Right-Supramarginal-posterior,72059
Right-Angular-gyrus,72060
Right-Intraparietal-sulcus,72061
Right-Precuneus,72062
Right-Marginal-branch-of-the-cingulate-sulcus,72063
Right-Parieto-occipital-sulcus,72064
Right-Anterior-occipital-sulcus-and-preoccipital-notch,72065
Right-O3,72066
Right-O2,72067
Right-O1,72068
Right-Occipital-pole,72069
Right-Lingual-gyrus,72070
Right-Calcarine-sulcus,72071
Right-Cuneus,72072
Right-Hippocampus-anterior,72073
Right-Hippocampus-posterior,72074
Right-Caudate-nucleus,72075
Right-Nucleus-accumbens,72076
Right-Cerebellar-cortex,72077
Left-Thalamus,9
Left-Putamen,12
Left-Pallidum,13
Left-Amygdala,18
Right Thalamus,48
Right-Putamen,51
Right-Pallidum,52
Right-Amygdala,54
CC_Posterior,251
CC_Mid_Posterior,252
CC_Central,253
CC_Mid_Anterior,254
CC_Anterior,255
