atlas_region,atlas_index
SFG_7_1_L,1
SFG_7_1_R,2
SFG_7_2_L,3
SFG_7_2_R,4
SFG_7_3_L,5
SFG_7_3_R,6
SFG_7_4_L,7
SFG_7_4_R,8
SFG_7_5_L,9
SFG_7_5_R,10
SFG_7_6_L,11
SFG_7_6_R,12
SFG_7_7_L,13
SFG_7_7_R,14
MFG_7_1_L,15
MFG_7_1_R,16
MFG_7_2_L,17
MFG_7_2_R,18
MFG_7_3_L,19
MFG_7_3_R,20
MFG_7_4_L,21
MFG_7_4_R,22
MFG_7_5_L,23
MFG_7_5_R,24
MFG_7_6_L,25
MFG_7_6_R,26
MFG_7_7_L,27
MFG_7_7_R,28
IFG_6_1_L,29
IFG_6_1_R,30
IFG_6_2_L,31
IFG_6_2_R,32
IFG_6_3_L,33
IFG_6_3_R,34
IFG_6_4_L,35
IFG_6_4_R,36
IFG_6_5_L,37
IFG_6_5_R,38
IFG_6_6_L,39
IFG_6_6_R,40
OrG_6_1_L,41
OrG_6_1_R,42
OrG_6_2_L,43
OrG_6_2_R,44
OrG_6_3_L,45
OrG_6_3_R,46
OrG_6_4_L,47
OrG_6_4_R,48
OrG_6_5_L,49
OrG_6_5_R,50
OrG_6_6_L,51
OrG_6_6_R,52
PrG_6_1_L,53
PrG_6_1_R,54
PrG_6_2_L,55
PrG_6_2_R,56
PrG_6_3_L,57
PrG_6_3_R,58
PrG_6_4_L,59
PrG_6_4_R,60
PrG_6_5_L,61
PrG_6_5_R,62
PrG_6_6_L,63
PrG_6_6_R,64
PCL_2_1_L,65
PCL_2_1_R,66
PCL_2_2_L,67
PCL_2_2_R,68
STG_6_1_L,69
STG_6_1_R,70
STG_6_2_L,71
STG_6_2_R,72
STG_6_3_L,73
STG_6_3_R,74
STG_6_4_L,75
STG_6_4_R,76
STG_6_5_L,77
STG_6_5_R,78
STG_6_6_L,79
STG_6_6_R,80
MTG_4_1_L,81
MTG_4_1_R,82
MTG_4_2_L,83
MTG_4_2_R,84
MTG_4_3_L,85
MTG_4_3_R,86
MTG_4_4_L,87
MTG_4_4_R,88
ITG_7_1_L,89
ITG_7_1_R,90
ITG_7_2_L,91
ITG_7_2_R,92
ITG_7_3_L,93
ITG_7_3_R,94
ITG_7_4_L,95
ITG_7_4_R,96
ITG_7_5_L,97
ITG_7_5_R,98
ITG_7_6_L,99
ITG_7_6_R,100
ITG_7_7_L,101
ITG_7_7_R,102
FuG_3_1_L,103
FuG_3_1_R,104
FuG_3_2_L,105
FuG_3_2_R,106
FuG_3_3_L,107
FuG_3_3_R,108
PhG_6_1_L,109
PhG_6_1_R,110
PhG_6_2_L,111
PhG_6_2_R,112
PhG_6_3_L,113
PhG_6_3_R,114
PhG_6_4_L,115
PhG_6_4_R,116
PhG_6_5_L,117
PhG_6_5_R,118
PhG_6_6_L,119
PhG_6_6_R,120
pSTS_2_1_L,121
pSTS_2_1_R,122
pSTS_2_2_L,123
pSTS_2_2_R,124
SPL_5_1_L,125
SPL_5_1_R,126
SPL_5_2_L,127
SPL_5_2_R,128
SPL_5_3_L,129
SPL_5_3_R,130
SPL_5_4_L,131
SPL_5_4_R,132
SPL_5_5_L,133
SPL_5_5_R,134
IPL_6_1_L,135
IPL_6_1_R,136
IPL_6_2_L,137
IPL_6_2_R,138
IPL_6_3_L,139
IPL_6_3_R,140
IPL_6_4_L,141
IPL_6_4_R,142
IPL_6_5_L,143
IPL_6_5_R,144
IPL_6_6_L,145
IPL_6_6_R,146
PCun_4_1_L,147
PCun_4_1_R,148
PCun_4_2_L,149
PCun_4_2_R,150
PCun_4_3_L,151
PCun_4_3_R,152
PCun_4_4_L,153
PCun_4_4_R,154
PoG_4_1_L,155
PoG_4_1_R,156
PoG_4_2_L,157
PoG_4_2_R,158
PoG_4_3_L,159
PoG_4_3_R,160
PoG_4_4_L,161
PoG_4_4_R,162
INS_6_1_L,163
INS_6_1_R,164
INS_6_2_L,165
INS_6_2_R,166
INS_6_3_L,167
INS_6_3_R,168
INS_6_4_L,169
INS_6_4_R,170
INS_6_5_L,171
INS_6_5_R,172
INS_6_6_L,173
INS_6_6_R,174
CG_7_1_L,175
CG_7_1_R,176
CG_7_2_L,177
CG_7_2_R,178
CG_7_3_L,179
CG_7_3_R,180
CG_7_4_L,181
CG_7_4_R,182
CG_7_5_L,183
CG_7_5_R,184
CG_7_6_L,185
CG_7_6_R,186
CG_7_7_L,187
CG_7_7_R,188
MVOcC_5_1_L,189
MVOcC_5_1_R,190
MVOcC_5_2_L,191
MVOcC_5_2_R,192
MVOcC_5_3_L,193
MVOcC_5_3_R,194
MVOcC_5_4_L,195
MVOcC_5_4_R,196
MVOcC_5_5_L,197
MVOcC_5_5_R,198
LOcC_4_1_L,199
LOcC_4_1_R,200
LOcC_4_2_L,201
LOcC_4_2_R,202
LOcC_4_3_L,203
LOcC_4_3_R,204
LOcC_4_4_L,205
LOcC_4_4_R,206
LOcC_2_1_L,207
LOcC_2_1_R,208
LOcC_2_2_L,209
LOcC_2_2_R,210
Amyg_2_1_L,211
Amyg_2_1_R,212
Amyg_2_2_L,213
Amyg_2_2_R,214
Hipp_2_1_L,215
Hipp_2_1_R,216
Hipp_2_2_L,217
Hipp_2_2_R,218
BG_6_1_L,219
BG_6_1_R,220
BG_6_2_L,221
BG_6_2_R,222
BG_6_3_L,223
BG_6_3_R,224
BG_6_4_L,225
BG_6_4_R,226
BG_6_5_L,227
BG_6_5_R,228
BG_6_6_L,229
BG_6_6_R,230
Tha_8_1_L,231
Tha_8_1_R,232
Tha_8_2_L,233
Tha_8_2_R,234
Tha_8_3_L,235
Tha_8_3_R,236
Tha_8_4_L,237
Tha_8_4_R,238
Tha_8_5_L,239
Tha_8_5_R,240
Tha_8_6_L,241
Tha_8_6_R,242
Tha_8_7_L,243
Tha_8_7_R,244
Tha_8_8_L,245
Tha_8_8_R,246
