atlas_region,atlas_index
FrontalPole_L,10
FrontalPole_R,11
InsularCortex_L,20
InsularCortex_R,21
SuperiorFrontalGyrus_L,30
SuperiorFrontalGyrus_R,31
MiddleFrontalGyrus_L,40
MiddleFrontalGyrus_R,41
InferiorFrontalGyrusparstriangularis_L,50
InferiorFrontalGyrusparstriangularis_R,51
InferiorFrontalGyrusparsopercularis_L,60
InferiorFrontalGyrusparsopercularis_R,61
PrecentralGyrus_L,70
PrecentralGyrus_R,71
TemporalPole_L,80
TemporalPole_R,81
SuperiorTemporalGyrusanteriordivision_L,90
SuperiorTemporalGyrusanteriordivision_R,91
SuperiorTemporalGyrusposteriordivision_L,100
SuperiorTemporalGyrusposteriordivision_R,101
MiddleTemporalGyrusanteriordivision_L,110
MiddleTemporalGyrusanteriordivision_R,111
MiddleTemporalGyrusposteriordivision_L,120
MiddleTemporalGyrusposteriordivision_R,121
MiddleTemporalGyrustemporooccipitalpart_L,130
MiddleTemporalGyrustemporooccipitalpart_R,131
InferiorTemporalGyrusanteriordivision_L,140
InferiorTemporalGyrusanteriordivision_R,141
InferiorTemporalGyrusposteriordivision_L,150
InferiorTemporalGyrusposteriordivision_R,151
InferiorTemporalGyrustemporooccipitalpart_L,160
InferiorTemporalGyrustemporooccipitalpart_R,161
PostcentralGyrus_L,170
PostcentralGyrus_R,171
SuperiorParietalLobule_L,180
SuperiorParietalLobule_R,181
SupramarginalGyrusanteriordivision_L,190
SupramarginalGyrusanteriordivision_R,191
SupramarginalGyrusposteriordivision_L,200
SupramarginalGyrusposteriordivision_R,201
AngularGyrus_L,210
AngularGyrus_R,211
LateralOccipitalCortexsuperiordivision_L,220
LateralOccipitalCortexsuperiordivision_R,221
LateralOccipitalCortexinferiordivision_L,230
LateralOccipitalCortexinferiordivision_R,231
IntracalcarineCortex_L,240
IntracalcarineCortex_R,241
FrontalMedialCortex_L,250
FrontalMedialCortex_R,251
JuxtapositionalLobuleCortex_L,260
JuxtapositionalLobuleCortex_R,261
SubcallosalCortex_L,270
SubcallosalCortex_R,271
ParacingulateGyrus_L,280
ParacingulateGyrus_R,281
CingulateGyrusanteriordivision_L,290
CingulateGyrusanteriordivision_R,291
CingulateGyrusposteriordivision_L,300
CingulateGyrusposteriordivision_R,301
PrecuneousCortex_L,310
PrecuneousCortex_R,311
CunealCortex_L,320
CunealCortex_R,321
FrontalOrbitalCortex_L,330
FrontalOrbitalCortex_R,331
ParahippocampalGyrusanteriordivision_L,340
ParahippocampalGyrusanteriordivision_R,341
ParahippocampalGyrusposteriordivision_L,350
ParahippocampalGyrusposteriordivision_R,351
LingualGyrus_L,360
LingualGyrus_R,361
TemporalFusiformCortexanteriordivision_L,370
TemporalFusiformCortexanteriordivision_R,371
TemporalFusiformCortexposteriordivision_L,380
TemporalFusiformCortexposteriordivision_R,381
TemporalOccipitalFusiformCortex_L,390
TemporalOccipitalFusiformCortex_R,391
OccipitalFusiformGyrus_L,400
OccipitalFusiformGyrus_R,401
FrontalOperculumCortex_L,410
FrontalOperculumCortex_R,411
CentralOpercularCortex_L,420
CentralOpercularCortex_R,421
ParietalOperculumCortex_L,430
ParietalOperculumCortex_R,431
PlanumPolare_L,440
PlanumPolare_R,441
HeschlsGyrus_L,450
HeschlsGyrus_R,451
PlanumTemporale_L,460
PlanumTemporale_R,461
SupracalcarineCortex_L,470
SupracalcarineCortex_R,471
OccipitalPole_L,480
OccipitalPole_R,481
Brain-Stem_L,1016
Brain-Stem_R,1116
Thalamus_L,2010
Thalamus_R,2049
Caudate_L,3011
Caudate_R,3050
Putamen_L,4012
Putamen_R,4051
Pallidum_L,5013
Pallidum_R,5052
Hippocampus_L,6017
Hippocampus_R,6053
Amygdala_L,7018
Amygdala_R,7054
Accumbens_L,8026
Accumbens_R,8058
